subtile_id,split,size,overlap
32_461_5484_89,train,640,20
32_454_5428_76,train,640,20
32_452_5429_76,train,640,20
32_412_5319_81,train,640,20
32_454_5430_81,train,640,20
32_458_5429_14,train,640,20
32_412_5315_55,train,640,20
32_452_5428_9,train,640,20
32_409_5315_47,train,640,20
32_457_5428_48,train,640,20
32_411_5316_85,train,640,20
32_458_5429_63,train,640,20
32_467_5482_61,train,640,20
32_459_5431_25,train,640,20
32_462_5482_27,train,640,20
32_455_5428_77,train,640,20
32_464_5483_12,train,640,20
32_453_5428_58,train,640,20
32_462_5481_91,train,640,20
32_464_5483_23,train,640,20
32_464_5484_82,train,640,20
32_466_5484_54,train,640,20
32_457_5428_17,train,640,20
32_416_5315_9,train,640,20
32_458_5429_27,train,640,20
32_455_5432_14,train,640,20
32_464_5487_66,train,640,20
32_462_5484_72,train,640,20
32_458_5428_41,train,640,20
32_462_5481_58,train,640,20
32_410_5318_51,train,640,20
32_456_5427_3,train,640,20
32_417_5315_12,train,640,20
32_461_5482_35,train,640,20
32_463_5486_4,train,640,20
32_461_5483_53,train,640,20
32_454_5427_27,train,640,20
32_456_5426_12,train,640,20
32_411_5318_25,train,640,20
32_454_5430_63,train,640,20
32_417_5315_74,train,640,20
32_412_5317_11,train,640,20
32_454_5432_2,train,640,20
32_462_5481_13,train,640,20
32_461_5482_90,train,640,20
32_413_5316_35,train,640,20
32_411_5317_60,train,640,20
32_462_5484_75,train,640,20
32_462_5480_9,train,640,20
32_456_5428_92,train,640,20
32_460_5425_37,train,640,20
32_460_5481_9,train,640,20
32_464_5485_99,train,640,20
32_453_5428_17,train,640,20
32_413_5315_44,train,640,20
32_463_5423_35,train,640,20
32_462_5483_21,train,640,20
32_456_5427_93,train,640,20
32_454_5428_14,train,640,20
32_462_5481_78,train,640,20
32_454_5428_40,train,640,20
32_461_5482_75,train,640,20
32_456_5428_99,train,640,20
32_416_5315_2,train,640,20
32_409_5316_9,train,640,20
32_464_5485_92,train,640,20
32_458_5427_68,train,640,20
32_412_5317_52,train,640,20
32_454_5427_16,train,640,20
32_414_5319_64,train,640,20
32_413_5317_16,train,640,20
32_464_5483_1,train,640,20
32_462_5482_1,train,640,20
32_454_5427_56,train,640,20
32_411_5316_72,train,640,20
32_412_5315_35,train,640,20
32_456_5426_14,train,640,20
32_465_5482_31,train,640,20
32_464_5485_75,train,640,20
32_411_5317_59,train,640,20
32_456_5428_73,train,640,20
32_455_5428_84,train,640,20
32_468_5483_73,train,640,20
32_412_5319_82,train,640,20
32_458_5428_20,train,640,20
32_452_5429_57,train,640,20
32_461_5483_81,train,640,20
32_412_5314_4,train,640,20
32_461_5482_56,train,640,20
32_456_5426_31,train,640,20
32_455_5431_7,train,640,20
32_455_5427_41,train,640,20
32_415_5315_46,train,640,20
32_465_5482_93,train,640,20
32_464_5483_10,train,640,20
32_412_5315_31,train,640,20
32_411_5319_78,train,640,20
32_458_5429_3,train,640,20
32_458_5428_13,train,640,20
32_410_5316_8,train,640,20
32_454_5428_97,train,640,20
32_412_5317_22,train,640,20
32_412_5318_70,train,640,20
32_411_5317_70,train,640,20
32_411_5319_78,train,640,20
32_413_5318_80,train,640,20
32_462_5482_31,train,640,20
32_460_5426_92,train,640,20
32_456_5426_6,train,640,20
32_456_5427_29,train,640,20
32_455_5433_54,train,640,20
32_412_5314_39,train,640,20
32_414_5317_56,train,640,20
32_455_5428_75,train,640,20
32_458_5429_64,train,640,20
32_411_5317_17,train,640,20
32_456_5429_51,train,640,20
32_411_5318_61,train,640,20
32_454_5431_32,train,640,20
32_463_5423_69,train,640,20
32_415_5315_48,train,640,20
32_460_5427_66,train,640,20
32_412_5318_26,train,640,20
32_410_5316_56,train,640,20
32_465_5484_78,train,640,20
32_415_5315_24,train,640,20
32_465_5482_33,train,640,20
32_458_5429_37,train,640,20
32_457_5428_28,train,640,20
32_458_5428_52,train,640,20
32_454_5431_22,train,640,20
32_410_5316_10,train,640,20
32_461_5426_81,train,640,20
32_464_5484_44,train,640,20
32_412_5315_44,train,640,20
32_416_5315_82,train,640,20
32_411_5317_90,train,640,20
32_416_5315_24,train,640,20
32_463_5423_28,train,640,20
32_413_5317_47,train,640,20
32_466_5482_36,train,640,20
32_462_5481_60,train,640,20
32_466_5484_76,train,640,20
32_457_5428_97,train,640,20
32_412_5317_72,train,640,20
32_411_5315_9,train,640,20
32_462_5483_15,train,640,20
32_462_5482_73,train,640,20
32_462_5480_15,train,640,20
32_456_5429_33,train,640,20
32_466_5482_25,train,640,20
32_453_5431_68,train,640,20
32_462_5481_35,train,640,20
32_461_5483_21,train,640,20
32_413_5317_36,train,640,20
32_456_5428_84,train,640,20
32_464_5485_92,train,640,20
32_458_5429_81,train,640,20
32_409_5316_26,train,640,20
32_454_5428_50,train,640,20
32_415_5315_47,train,640,20
32_413_5317_43,train,640,20
32_459_5431_49,train,640,20
32_462_5483_80,train,640,20
32_464_5483_2,train,640,20
32_454_5427_20,train,640,20
32_455_5427_90,train,640,20
32_454_5433_72,train,640,20
32_413_5318_66,train,640,20
32_455_5431_32,train,640,20
32_415_5315_14,train,640,20
32_414_5319_62,train,640,20
32_468_5483_60,train,640,20
32_456_5426_2,train,640,20
32_461_5484_47,train,640,20
32_454_5431_31,train,640,20
32_413_5317_46,train,640,20
32_466_5483_95,train,640,20
32_464_5484_73,train,640,20
32_416_5315_83,train,640,20
32_411_5318_10,train,640,20
32_411_5318_66,train,640,20
32_414_5319_53,train,640,20
32_464_5484_10,train,640,20
32_412_5315_12,train,640,20
32_411_5318_79,train,640,20
32_467_5482_41,train,640,20
32_414_5317_55,train,640,20
32_414_5319_52,train,640,20
32_454_5431_50,train,640,20
32_414_5318_26,train,640,20
32_454_5432_11,train,640,20
32_412_5318_37,train,640,20
32_465_5482_42,train,640,20
32_458_5429_80,train,640,20
32_458_5428_64,train,640,20
32_461_5483_30,train,640,20
32_456_5427_52,train,640,20
32_452_5429_34,train,640,20
32_410_5318_7,train,640,20
32_409_5315_46,train,640,20
32_413_5316_76,train,640,20
32_465_5482_96,train,640,20
32_411_5317_95,train,640,20
32_455_5428_61,train,640,20
32_456_5426_5,train,640,20
32_413_5315_60,train,640,20
32_456_5427_18,train,640,20
32_455_5428_76,train,640,20
32_412_5319_81,train,640,20
32_414_5319_75,train,640,20
32_413_5317_96,train,640,20
32_413_5317_25,train,640,20
32_455_5427_3,train,640,20
32_452_5429_8,train,640,20
32_465_5484_21,train,640,20
32_457_5430_69,train,640,20
32_415_5315_26,train,640,20
32_462_5426_25,train,640,20
32_461_5483_54,train,640,20
32_409_5317_98,train,640,20
32_455_5432_31,train,640,20
32_461_5482_72,train,640,20
32_460_5427_97,train,640,20
32_455_5428_20,train,640,20
32_413_5318_94,train,640,20
32_411_5318_40,train,640,20
32_416_5315_78,train,640,20
32_458_5428_5,train,640,20
32_456_5427_24,train,640,20
32_456_5428_71,train,640,20
32_465_5482_95,train,640,20
32_413_5319_2,train,640,20
32_455_5428_51,train,640,20
32_455_5427_81,train,640,20
32_455_5427_25,train,640,20
32_413_5315_72,train,640,20
32_464_5484_72,train,640,20
32_463_5481_61,train,640,20
32_454_5429_71,train,640,20
32_458_5429_53,train,640,20
32_462_5483_23,train,640,20
32_462_5480_4,train,640,20
32_458_5428_51,train,640,20
32_462_5481_73,train,640,20
32_413_5315_75,train,640,20
32_456_5427_43,train,640,20
32_456_5427_11,train,640,20
32_413_5317_65,train,640,20
32_465_5482_32,train,640,20
32_465_5482_27,train,640,20
32_463_5423_88,train,640,20
32_456_5429_50,train,640,20
32_466_5484_56,train,640,20
32_463_5486_3,train,640,20
32_467_5484_98,train,640,20
32_459_5432_86,train,640,20
32_413_5320_90,train,640,20
32_467_5484_98,train,640,20
32_453_5428_38,train,640,20
32_458_5428_44,train,640,20
32_453_5431_2,train,640,20
32_455_5427_67,train,640,20
32_465_5484_11,train,640,20
32_454_5428_25,train,640,20
32_458_5429_28,train,640,20
32_454_5428_30,train,640,20
32_461_5483_81,train,640,20
32_460_5483_38,train,640,20
32_462_5483_79,train,640,20
32_412_5314_52,train,640,20
32_458_5427_75,train,640,20
32_412_5317_9,train,640,20
32_411_5316_5,train,640,20
32_457_5430_48,train,640,20
32_461_5482_77,train,640,20
32_410_5316_54,train,640,20
32_456_5426_7,train,640,20
32_455_5433_89,train,640,20
32_465_5482_67,train,640,20
32_458_5429_15,train,640,20
32_410_5317_88,train,640,20
32_454_5428_55,train,640,20
32_413_5316_88,train,640,20
32_455_5427_42,train,640,20
32_459_5431_58,train,640,20
32_454_5428_74,train,640,20
32_411_5318_57,train,640,20
32_462_5483_99,train,640,20
32_416_5315_26,train,640,20
32_412_5317_76,train,640,20
32_416_5315_57,train,640,20
32_467_5484_69,train,640,20
32_413_5320_90,train,640,20
32_410_5317_78,train,640,20
32_464_5483_38,train,640,20
32_461_5482_45,train,640,20
32_413_5317_45,train,640,20
32_456_5428_96,train,640,20
32_455_5428_92,train,640,20
32_414_5317_59,train,640,20
32_458_5428_57,train,640,20
32_415_5315_52,train,640,20
32_457_5428_77,train,640,20
32_460_5427_73,train,640,20
32_411_5317_59,train,640,20
32_456_5427_94,train,640,20
32_415_5315_31,train,640,20
32_459_5431_45,train,640,20
32_411_5318_60,train,640,20
32_464_5485_81,train,640,20
32_465_5480_34,train,640,20
32_464_5483_73,train,640,20
32_462_5482_19,train,640,20
32_454_5431_34,train,640,20
32_462_5484_58,train,640,20
32_461_5483_45,train,640,20
32_462_5483_55,train,640,20
32_462_5481_44,train,640,20
32_463_5422_9,train,640,20
32_466_5483_89,train,640,20
32_455_5433_68,train,640,20
32_468_5483_89,train,640,20
32_467_5483_64,train,640,20
32_461_5481_17,train,640,20
32_461_5482_59,train,640,20
32_455_5427_9,train,640,20
32_463_5423_87,train,640,20
32_455_5432_36,train,640,20
32_413_5319_79,train,640,20
32_414_5317_45,train,640,20
32_458_5428_50,train,640,20
32_412_5317_96,train,640,20
32_459_5431_57,train,640,20
32_412_5317_0,train,640,20
32_460_5427_28,train,640,20
32_454_5428_56,train,640,20
32_458_5428_12,train,640,20
32_457_5428_78,train,640,20
32_412_5314_35,train,640,20
32_455_5428_72,train,640,20
32_414_5319_96,train,640,20
32_456_5429_73,train,640,20
32_458_5428_66,train,640,20
32_463_5423_59,train,640,20
32_458_5428_34,train,640,20
32_411_5317_27,train,640,20
32_465_5485_80,train,640,20
32_456_5428_57,train,640,20
32_456_5428_68,train,640,20
32_416_5315_61,train,640,20
32_456_5429_46,train,640,20
32_462_5481_50,train,640,20
32_458_5429_65,train,640,20
32_458_5429_24,train,640,20
32_410_5316_68,train,640,20
32_413_5317_9,train,640,20
32_467_5483_98,train,640,20
32_457_5428_65,train,640,20
32_458_5428_26,train,640,20
32_413_5317_64,train,640,20
32_462_5481_85,train,640,20
32_456_5429_32,train,640,20
32_410_5318_19,train,640,20
32_458_5428_16,train,640,20
32_461_5484_76,train,640,20
32_467_5482_89,train,640,20
32_413_5315_46,train,640,20
32_413_5317_6,train,640,20
32_457_5430_59,train,640,20
32_412_5318_49,train,640,20
32_464_5483_11,train,640,20
32_417_5315_15,train,640,20
32_412_5318_99,train,640,20
32_464_5484_45,train,640,20
32_462_5482_4,train,640,20
32_468_5483_49,train,640,20
32_412_5319_90,train,640,20
32_467_5483_52,train,640,20
32_468_5483_13,train,640,20
32_453_5428_47,train,640,20
32_456_5429_91,train,640,20
32_455_5432_33,train,640,20
32_461_5483_34,train,640,20
32_453_5431_3,train,640,20
32_464_5485_76,train,640,20
32_458_5428_75,train,640,20
32_454_5431_33,train,640,20
32_412_5314_10,train,640,20
32_415_5315_48,train,640,20
32_458_5428_0,train,640,20
32_413_5317_7,train,640,20
32_462_5426_57,train,640,20
32_462_5483_48,train,640,20
32_465_5482_37,train,640,20
32_415_5317_50,train,640,20
32_456_5427_74,train,640,20
32_411_5316_84,train,640,20
32_461_5481_33,train,640,20
32_464_5483_5,train,640,20
32_409_5317_32,train,640,20
32_458_5429_58,train,640,20
32_460_5426_71,train,640,20
32_459_5431_44,train,640,20
32_464_5484_0,train,640,20
32_456_5428_91,train,640,20
32_466_5482_10,train,640,20
32_458_5429_35,train,640,20
32_461_5481_15,train,640,20
32_460_5427_49,train,640,20
32_412_5319_67,train,640,20
32_409_5315_15,train,640,20
32_466_5483_69,train,640,20
32_411_5317_39,train,640,20
32_454_5427_42,train,640,20
32_416_5315_59,train,640,20
32_456_5428_47,train,640,20
32_413_5319_3,train,640,20
32_462_5482_45,train,640,20
32_464_5483_3,train,640,20
32_410_5317_86,train,640,20
32_409_5316_17,train,640,20
32_410_5316_68,train,640,20
32_411_5318_47,train,640,20
32_416_5315_12,train,640,20
32_410_5316_40,train,640,20
32_458_5428_8,train,640,20
32_465_5482_43,train,640,20
32_461_5482_3,train,640,20
32_464_5486_71,train,640,20
32_462_5484_93,train,640,20
32_416_5315_73,train,640,20
32_462_5481_63,train,640,20
32_454_5429_1,train,640,20
32_417_5314_38,train,640,20
32_410_5317_85,train,640,20
32_461_5481_3,train,640,20
32_410_5316_30,train,640,20
32_458_5429_83,train,640,20
32_454_5432_21,train,640,20
32_465_5423_79,train,640,20
32_416_5315_36,train,640,20
32_461_5483_90,train,640,20
32_411_5316_3,train,640,20
32_415_5315_2,train,640,20
32_455_5427_54,train,640,20
32_462_5481_90,train,640,20
32_464_5483_46,train,640,20
32_411_5317_71,train,640,20
32_411_5316_2,train,640,20
32_414_5318_74,train,640,20
32_410_5318_26,train,640,20
32_464_5484_98,train,640,20
32_461_5426_81,train,640,20
32_455_5433_74,train,640,20
32_465_5480_51,train,640,20
32_462_5483_59,train,640,20
32_463_5486_33,train,640,20
32_412_5317_79,train,640,20
32_412_5315_24,train,640,20
32_461_5482_59,train,640,20
32_462_5481_54,train,640,20
32_467_5482_89,train,640,20
32_456_5427_59,train,640,20
32_461_5426_22,train,640,20
32_464_5484_87,train,640,20
32_456_5428_83,train,640,20
32_462_5482_85,train,640,20
32_416_5315_69,train,640,20
32_461_5483_24,train,640,20
32_463_5425_71,train,640,20
32_458_5428_27,train,640,20
32_413_5317_20,train,640,20
32_454_5432_3,train,640,20
32_463_5486_42,train,640,20
32_461_5482_7,train,640,20
32_455_5433_63,train,640,20
32_454_5427_9,train,640,20
32_413_5316_7,train,640,20
32_458_5430_13,train,640,20
32_453_5428_19,train,640,20
32_454_5427_5,train,640,20
32_456_5429_44,train,640,20
32_460_5427_76,train,640,20
32_416_5315_80,train,640,20
32_462_5426_12,train,640,20
32_458_5428_31,train,640,20
32_411_5317_28,train,640,20
32_453_5428_9,train,640,20
32_466_5482_15,train,640,20
32_463_5423_44,train,640,20
32_460_5425_46,train,640,20
32_456_5427_70,train,640,20
32_461_5482_19,train,640,20
32_412_5315_22,train,640,20
32_461_5483_64,train,640,20
32_454_5427_31,train,640,20
32_462_5483_95,train,640,20
32_454_5428_41,train,640,20
32_464_5483_14,train,640,20
32_462_5482_36,train,640,20
32_412_5315_94,train,640,20
32_414_5318_46,train,640,20
32_453_5428_9,train,640,20
32_458_5430_4,train,640,20
32_462_5482_43,train,640,20
32_452_5429_65,train,640,20
32_460_5427_96,train,640,20
32_455_5431_35,train,640,20
32_411_5317_76,train,640,20
32_461_5482_81,train,640,20
32_454_5432_13,train,640,20
32_455_5428_95,train,640,20
32_411_5317_77,train,640,20
32_464_5484_23,train,640,20
32_467_5483_75,train,640,20
32_413_5316_46,train,640,20
32_416_5315_6,train,640,20
32_457_5428_60,train,640,20
32_417_5315_56,train,640,20
32_460_5425_34,train,640,20
32_456_5426_25,train,640,20
32_412_5315_42,train,640,20
32_413_5318_61,train,640,20
32_416_5316_97,train,640,20
32_466_5482_12,train,640,20
32_410_5318_16,train,640,20
32_462_5481_85,train,640,20
32_457_5428_35,train,640,20
32_463_5486_99,train,640,20
32_462_5482_71,train,640,20
32_455_5427_35,train,640,20
32_413_5315_64,train,640,20
32_412_5314_12,train,640,20
32_464_5487_97,train,640,20
32_455_5433_57,train,640,20
32_411_5318_21,train,640,20
32_461_5484_77,train,640,20
32_462_5481_64,train,640,20
32_464_5486_6,train,640,20
32_460_5425_14,train,640,20
32_457_5428_69,train,640,20
32_413_5318_80,train,640,20
32_453_5428_6,train,640,20
32_455_5432_19,train,640,20
32_462_5483_24,train,640,20
32_455_5433_79,train,640,20
32_460_5427_65,train,640,20
32_467_5484_41,train,640,20
32_458_5431_83,train,640,20
32_462_5482_9,train,640,20
32_458_5429_26,train,640,20
32_466_5482_8,train,640,20
32_456_5428_63,train,640,20
32_461_5481_30,train,640,20
32_416_5315_3,train,640,20
32_415_5315_39,train,640,20
32_468_5483_11,train,640,20
32_453_5427_28,train,640,20
32_461_5426_23,train,640,20
32_459_5484_82,train,640,20
32_417_5314_19,train,640,20
32_454_5428_69,train,640,20
32_460_5483_76,train,640,20
32_411_5317_97,train,640,20
32_455_5427_37,train,640,20
32_417_5315_85,train,640,20
32_464_5487_92,train,640,20
32_455_5427_50,train,640,20
32_456_5429_45,train,640,20
32_454_5428_45,train,640,20
32_455_5431_16,train,640,20
32_463_5486_2,train,640,20
32_456_5429_63,train,640,20
32_462_5483_93,train,640,20
32_456_5428_61,train,640,20
32_454_5428_0,train,640,20
32_465_5482_36,train,640,20
32_459_5431_35,train,640,20
32_463_5486_87,train,640,20
32_458_5429_83,train,640,20
32_412_5315_1,train,640,20
32_462_5483_44,train,640,20
32_462_5481_46,train,640,20
32_457_5428_24,train,640,20
32_412_5317_94,train,640,20
32_467_5483_60,train,640,20
32_460_5425_19,train,640,20
32_458_5430_60,train,640,20
32_458_5427_77,train,640,20
32_454_5428_46,train,640,20
32_464_5485_93,train,640,20
32_456_5428_67,train,640,20
32_412_5317_63,train,640,20
32_454_5427_62,train,640,20
32_416_5315_72,train,640,20
32_454_5428_4,train,640,20
32_456_5427_69,train,640,20
32_462_5483_17,train,640,20
32_455_5427_28,train,640,20
32_462_5481_36,train,640,20
32_459_5431_69,train,640,20
32_460_5483_20,train,640,20
32_411_5318_51,train,640,20
32_415_5316_87,train,640,20
32_411_5315_13,train,640,20
32_417_5315_85,train,640,20
32_411_5319_99,train,640,20
32_412_5316_70,train,640,20
32_458_5429_39,train,640,20
32_458_5428_37,train,640,20
32_415_5315_0,train,640,20
32_413_5316_26,train,640,20
32_465_5485_0,train,640,20
32_455_5427_12,train,640,20
32_460_5426_72,train,640,20
32_456_5427_64,train,640,20
32_461_5482_1,train,640,20
32_409_5316_6,train,640,20
32_460_5483_67,train,640,20
32_461_5482_63,train,640,20
32_462_5483_68,train,640,20
32_411_5317_82,train,640,20
32_412_5317_51,train,640,20
32_413_5318_96,train,640,20
32_460_5483_87,train,640,20
32_468_5483_74,train,640,20
32_412_5314_53,train,640,20
32_462_5481_74,train,640,20
32_413_5317_40,train,640,20
32_413_5315_71,train,640,20
32_461_5481_69,train,640,20
32_454_5427_57,train,640,20
32_463_5486_99,train,640,20
32_412_5317_61,train,640,20
32_413_5317_19,train,640,20
32_461_5482_89,train,640,20
32_413_5317_52,train,640,20
32_417_5314_4,train,640,20
32_454_5428_18,train,640,20
32_461_5484_46,train,640,20
32_410_5317_63,train,640,20
32_455_5427_78,train,640,20
32_461_5481_11,train,640,20
32_454_5427_68,train,640,20
32_462_5482_83,train,640,20
32_458_5429_41,train,640,20
32_464_5486_70,train,640,20
32_466_5484_49,train,640,20
32_455_5427_4,train,640,20
32_458_5427_20,train,640,20
32_464_5485_31,train,640,20
32_454_5432_32,train,640,20
32_414_5319_60,train,640,20
32_454_5432_15,train,640,20
32_454_5427_9,train,640,20
32_412_5317_9,train,640,20
32_457_5428_25,train,640,20
32_453_5428_22,train,640,20
32_465_5482_59,train,640,20
32_463_5486_12,train,640,20
32_464_5483_15,train,640,20
32_466_5484_49,train,640,20
32_410_5316_47,train,640,20
32_414_5318_7,train,640,20
32_463_5481_91,train,640,20
32_462_5484_74,train,640,20
32_458_5430_40,train,640,20
32_464_5486_16,train,640,20
32_461_5482_44,train,640,20
32_466_5483_89,train,640,20
32_416_5316_89,train,640,20
32_465_5480_61,train,640,20
32_453_5427_7,train,640,20
32_464_5486_80,train,640,20
32_454_5427_32,train,640,20
32_462_5481_71,train,640,20
32_412_5317_13,train,640,20
32_452_5429_24,train,640,20
32_457_5428_85,train,640,20
32_452_5429_8,train,640,20
32_462_5481_91,train,640,20
32_417_5315_46,train,640,20
32_456_5427_49,train,640,20
32_454_5430_46,train,640,20
32_458_5429_28,train,640,20
32_458_5428_77,train,640,20
32_457_5428_33,train,640,20
32_461_5482_12,train,640,20
32_464_5485_99,train,640,20
32_460_5426_81,train,640,20
32_413_5319_95,train,640,20
32_462_5484_92,train,640,20
32_455_5427_47,train,640,20
32_410_5316_31,train,640,20
32_412_5315_23,train,640,20
32_456_5427_90,train,640,20
32_417_5314_29,train,640,20
32_465_5484_30,train,640,20
32_413_5318_53,train,640,20
32_414_5317_13,train,640,20
32_413_5317_96,train,640,20
32_454_5428_97,train,640,20
32_413_5315_59,train,640,20
32_461_5483_94,train,640,20
32_454_5432_22,train,640,20
32_412_5315_56,train,640,20
32_454_5428_37,train,640,20
32_462_5426_67,train,640,20
32_454_5427_28,train,640,20
32_464_5484_96,train,640,20
32_412_5314_31,train,640,20
32_456_5427_60,train,640,20
32_413_5315_56,train,640,20
32_409_5315_25,train,640,20
32_411_5316_17,train,640,20
32_462_5482_19,train,640,20
32_461_5483_35,train,640,20
32_458_5427_31,train,640,20
32_413_5315_57,train,640,20
32_458_5428_6,train,640,20
32_415_5315_16,train,640,20
32_462_5482_0,train,640,20
32_457_5428_8,train,640,20
32_412_5317_23,train,640,20
32_464_5485_63,train,640,20
32_456_5428_66,train,640,20
32_413_5319_52,train,640,20
32_414_5318_95,train,640,20
32_462_5481_88,train,640,20
32_415_5316_96,train,640,20
32_461_5481_31,train,640,20
32_467_5483_1,train,640,20
32_412_5315_34,train,640,20
32_464_5484_20,train,640,20
32_458_5429_58,train,640,20
32_455_5427_65,train,640,20
32_460_5425_3,train,640,20
32_412_5317_75,train,640,20
32_466_5482_27,train,640,20
32_463_5481_6,train,640,20
32_461_5483_65,train,640,20
32_413_5319_60,train,640,20
32_455_5427_31,train,640,20
32_416_5315_14,train,640,20
32_454_5428_96,train,640,20
32_417_5315_60,train,640,20
32_458_5428_47,train,640,20
32_454_5427_98,train,640,20
32_413_5319_44,train,640,20
32_410_5317_65,train,640,20
32_452_5429_26,train,640,20
32_412_5319_82,train,640,20
32_465_5484_0,train,640,20
32_413_5316_78,train,640,20
32_458_5428_28,train,640,20
32_461_5426_80,train,640,20
32_453_5431_70,train,640,20
32_466_5482_0,train,640,20
32_463_5486_48,train,640,20
